zone,hour,event_count,avg_impact_score,road_closures,avg_delay,avg_lat,avg_lon,congestion_risk,risk_label
East Zone 1,7,3,11.346666666666666,0,8.0,12.956089233333335,77.73119236666666,6.67,Low
East Zone 1,8,4,6.35,0,8.0,12.9560035125,77.7139715625,5.12,Low
East Zone 1,9,3,11.11,0,12.0,12.970487866666668,77.720834,6.57,Low
East Zone 1,10,1,4.76,0,6.0,12.9424948,77.7466463,2.64,Low
East Zone 1,11,5,15.697999999999999,1,13.0,12.95172312,77.72298909999999,13.3,Low
East Zone 1,12,3,18.493333333333336,1,14.0,12.934281949999999,77.74357143666667,13.31,Low
East Zone 1,14,1,4.76,0,6.0,12.98374123,77.75228668,2.64,Low
East Zone 1,15,1,7.94,0,10.0,12.9564114,77.7456022,4.01,Low
East Zone 1,17,1,24.52,0,12.0,12.93934584,77.69560186,11.14,Low
East Zone 1,18,11,6.587272727272728,1,7.454545454545454,12.971109214545454,77.73535597727272,12.97,Low
East Zone 1,19,21,14.477619047619047,0,9.714285714285714,12.94285845761905,77.70022242619048,18.76,Low
East Zone 1,20,31,18.424838709677417,2,15.129032258064516,12.962933501612904,77.70649372548388,33.57,Medium
East Zone 1,21,56,17.75,2,15.053571428571429,12.960857785714285,77.70367931964286,48.2,Medium
East Zone 1,22,10,14.762,3,10.5,12.95601589,77.70842867,23.03,Low
East Zone 1,23,15,10.545333333333334,1,8.466666666666667,12.955609848,77.72472721066667,17.06,Low
East Zone 2,0,8,9.22625,0,8.625,13.01420065,77.677697675,8.74,Low
East Zone 2,1,8,8.88875,1,7.75,13.0141614625,77.6868909375,12.17,Low
East Zone 2,2,5,11.11,1,8.0,13.0443175,77.66321518,11.33,Low
East Zone 2,3,11,10.938181818181818,2,8.545454545454545,13.017932454545456,77.69663972727272,18.41,Low
East Zone 2,4,12,10.265,2,8.333333333333334,13.0203440325,77.68285402,18.72,Low
East Zone 2,5,11,10.417272727272728,2,8.818181818181818,13.027593036363635,77.68392259090909,18.19,Low
East Zone 2,6,12,8.860833333333334,4,7.416666666666667,13.013194266666666,77.70028086666666,25.26,Medium
East Zone 2,7,4,15.02,0,9.25,13.000708225,77.6757141,8.84,Low
East Zone 2,8,4,5.12,0,6.0,13.028112924999999,77.679832675,4.59,Low
East Zone 2,9,3,6.426666666666667,1,6.0,13.012088400000001,77.6977187,8.12,Low
East Zone 2,10,2,3.9299999999999997,0,4.5,13.017606350000001,77.7066172,2.88,Low
East Zone 2,11,2,43.89,0,28.0,12.995329900000002,77.66683900000001,20.06,Low
East Zone 2,12,3,32.24666666666666,2,18.333333333333332,12.99160344,77.66470881666667,22.79,Low
East Zone 2,13,1,4.76,0,6.0,13.0224983,77.7139583,2.64,Low
East Zone 2,17,1,4.76,0,6.0,13.0100068,77.697073,2.64,Low
East Zone 2,18,17,14.093529411764706,2,10.470588235294118,13.008190982352941,77.68985538823529,23.35,Low
East Zone 2,19,24,14.2425,5,9.708333333333334,13.027538466666668,77.6617635375,38.31,Medium
East Zone 2,20,25,10.3148,3,9.0,13.01811444,77.671338692,30.07,Medium
East Zone 2,21,17,7.950588235294117,2,7.529411764705882,13.012976888235293,77.6817818764706,20.71,Low
East Zone 2,22,10,10.605,0,7.2,13.01047085,77.6800193,10.53,Low
East Zone 2,23,10,8.253,0,7.7,13.02789685,77.67691354,9.52,Low
North Zone 1,0,20,22.773,1,14.4,13.045180199999999,77.60690359499999,25.3,Medium
North Zone 1,1,17,19.974117647058822,0,12.352941176470589,13.046539379411765,77.60752989,18.73,Low
North Zone 1,2,18,19.174444444444443,2,12.277777777777779,13.042151555555556,77.60966136111112,26.13,Medium
North Zone 1,3,17,23.871176470588235,3,16.852941176470587,13.04692801,77.60307656176471,31.12,Medium
North Zone 1,4,23,21.986521739130435,2,16.043478260869566,13.045282169565217,77.61898436521739,30.32,Medium
North Zone 1,5,24,23.249583333333334,2,15.8125,13.048048391666667,77.60399985,31.46,Medium
North Zone 1,6,24,18.194166666666664,1,14.125,13.046380733333335,77.60267945833333,25.72,Medium
North Zone 1,7,15,21.880666666666666,1,15.3,13.04922656,77.59523196,21.93,Low
North Zone 1,8,4,16.982499999999998,0,11.5,13.041090525,77.60684675,9.69,Low
North Zone 1,9,5,11.064,0,9.8,13.04042508,77.60742548,7.74,Low
North Zone 1,11,4,26.68,1,18.5,13.031254825,77.607763275,17.43,Low
North Zone 1,12,9,27.89888888888889,6,18.88888888888889,13.033926125555556,77.60461750666667,38.79,Medium
North Zone 1,13,3,36.73,0,24.833333333333332,13.058843366666666,77.59363433333333,17.58,Low
North Zone 1,15,1,26.9,0,15.0,13.0824868,77.5933591,12.16,Low
North Zone 1,16,1,46.55,0,37.5,13.0851517,77.5942417,20.6,Low
North Zone 1,18,2,19.245,0,13.0,13.02783015,77.6251156,9.47,Low
North Zone 1,19,28,21.785357142857144,1,15.285714285714286,13.041016053571429,77.62111445000001,29.65,Medium
North Zone 1,20,32,20.349687499999998,3,13.9375,13.040622465625,77.609735339375,38.57,Medium
North Zone 1,21,24,23.64,3,16.666666666666668,13.04400664375,77.60609279958334,35.2,Medium
North Zone 1,22,24,18.114166666666666,2,12.291666666666666,13.038807683333333,77.59952171249999,29.26,Medium
North Zone 1,23,23,29.20608695652174,4,18.17391304347826,13.043765840434782,77.60801680608697,40.57,Medium
North Zone 2,0,27,21.011851851851848,0,15.092592592592593,13.069053196296297,77.5775843925926,25.15,Medium
North Zone 2,1,18,19.296666666666667,0,12.805555555555555,13.052431622222223,77.56795848888889,19.04,Low
North Zone 2,2,26,22.37346153846154,3,14.442307692307692,13.051992430384615,77.56868775653847,35.85,Medium
North Zone 2,3,25,22.1112,1,13.78,13.0745263836,77.58304350680001,28.0,Medium
North Zone 2,4,29,26.493448275862068,1,15.53448275862069,13.080350949310345,77.59167635862069,32.27,Medium
North Zone 2,5,30,22.374000000000002,2,15.166666666666666,13.053768496666667,77.56895843666666,34.67,Medium
North Zone 2,6,23,21.94608695652174,2,12.804347826086957,13.051379808695653,77.58301859130435,30.31,Medium
North Zone 2,7,18,17.532777777777778,1,11.11111111111111,13.069282433333335,77.57357781666667,21.85,Low
North Zone 2,8,16,22.346875,0,14.59375,13.058224275,77.57089763125,19.16,Low
North Zone 2,9,17,17.73235294117647,0,12.029411764705882,13.062284885882354,77.57673631294118,17.77,Low
North Zone 2,10,4,28.372500000000002,1,17.75,13.0755823,77.5653237,18.15,Low
North Zone 2,11,3,7.62,1,7.0,13.057577100000001,77.5628563,8.64,Low
North Zone 2,12,7,23.447142857142858,2,12.928571428571429,13.058309485714286,77.55047202857143,21.4,Low
North Zone 2,13,5,25.089999999999996,1,20.3,13.050627760000001,77.5636573,17.34,Low
North Zone 2,14,3,20.81,0,19.166666666666668,13.058903066666666,77.56308853333333,10.74,Low
North Zone 2,17,3,21.416666666666668,1,17.833333333333332,13.070008999999999,77.55249579999999,14.57,Low
North Zone 2,18,10,17.722,0,12.4,13.042906550000001,77.55667100000001,13.59,Low
North Zone 2,19,24,23.34375,2,14.895833333333334,13.0574571,77.57514852083334,31.5,Medium
North Zone 2,20,52,22.10576923076923,1,14.461538461538462,13.071681501923077,77.5773667076923,44.12,Medium
North Zone 2,21,26,19.818461538461538,0,13.0,13.059361054615383,77.57059795961538,24.04,Low
North Zone 2,22,19,20.017894736842106,0,11.921052631578947,13.070951647368421,77.58071574210526,19.95,Low
North Zone 2,23,28,22.57107142857143,3,13.553571428571429,13.070606832142857,77.59080951785714,37.13,Medium
South Zone 1,0,6,6.746666666666667,0,8.0,12.888413466666668,77.58290371666668,6.48,Low
South Zone 1,1,15,2.8573333333333335,0,3.4,12.876997620000001,77.61220974666666,10.18,Low
South Zone 1,2,2,6.35,0,8.0,12.9109935,77.5545791,3.92,Low
South Zone 1,3,5,13.936000000000002,1,14.2,12.8831099,77.58484502,12.55,Low
South Zone 1,4,8,12.5,0,11.25,12.89169708875,77.5687145875,10.15,Low
South Zone 1,5,16,6.396875,2,6.875,12.90387632125,77.577683828125,19.44,Low
South Zone 1,6,7,5.168571428571428,0,6.0,12.903601598571429,77.57673740142857,6.4,Low
South Zone 1,7,5,6.843999999999999,0,8.2,12.884846379999999,77.56731113999999,5.93,Low
South Zone 1,8,4,12.995,0,10.75,12.892648574999999,77.579644375,7.97,Low
South Zone 1,9,2,3.9299999999999997,0,4.5,12.9138692,77.56924165000001,2.88,Low
South Zone 1,11,1,12.62,0,15.0,12.860422,77.6609334,6.02,Low
South Zone 1,18,1,21.03,0,25.0,12.8559783,77.5887467,9.64,Low
South Zone 1,19,5,8.562000000000001,0,8.8,12.887533659999999,77.54925433999999,6.67,Low
South Zone 1,20,5,9.568,0,10.4,12.899828674,77.588241582,7.1,Low
South Zone 1,21,33,6.155757575757576,2,6.7272727272727275,12.904453329696969,77.5816852581818,29.49,Medium
South Zone 1,22,56,5.7575,4,5.892857142857143,12.884678701071428,77.57263675982142,50.19,High
South Zone 1,23,62,12.516774193548386,2,14.32258064516129,12.914423663870968,77.58824385935485,49.54,Medium
South Zone 2,0,21,22.50095238095238,2,14.571428571428571,12.917371523333335,77.62581290857143,29.35,Medium
South Zone 2,1,16,17.8475,1,11.125,12.917708980625001,77.624156856875,20.79,Low
South Zone 2,2,20,19.034,0,7.5,12.922496455000001,77.61815255,20.12,Low
South Zone 2,3,7,11.228571428571428,1,8.571428571428571,12.918346042857141,77.62255402857143,12.58,Low
South Zone 2,4,26,11.509615384615385,1,7.5576923076923075,12.90862219923077,77.62044804692307,24.04,Low
South Zone 2,5,51,16.95294117647059,0,9.127450980392156,12.915628743137255,77.61860439411764,37.73,Medium
South Zone 2,6,23,15.113043478260868,1,10.956521739130435,12.910377918695652,77.61589720695652,23.8,Low
South Zone 2,7,9,15.551111111111108,1,10.555555555555555,12.92164521111111,77.61800411111112,15.63,Low
South Zone 2,8,10,20.966,2,13.1,12.92455266,77.61817842,22.12,Low
South Zone 2,9,7,32.174285714285716,0,21.0,12.90295077142857,77.63157334285714,18.01,Low
South Zone 2,10,2,17.419999999999998,0,12.5,12.89991475,77.60716145,8.68,Low
South Zone 2,11,3,32.43,2,19.666666666666668,12.912700733333333,77.6149183,22.87,Low
South Zone 2,12,3,45.35666666666666,2,28.5,12.914243566666668,77.62493423333332,28.43,Medium
South Zone 2,13,1,22.74,0,7.5,12.9194436,77.6214189,10.37,Low
South Zone 2,18,8,35.44625,0,24.75,12.89991255,77.6398400625,20.01,Low
South Zone 2,19,27,21.524074074074072,2,13.88888888888889,12.910221776666667,77.62500486814815,32.51,Medium
South Zone 2,20,26,16.157692307692308,1,12.173076923076923,12.912244654999999,77.61889252346154,26.04,Medium
South Zone 2,21,43,12.768139534883721,0,9.290697674418604,12.905010348837209,77.61470529069767,31.16,Medium
South Zone 2,22,22,10.555454545454545,1,7.2272727272727275,12.90545815,77.6139439090909,21.24,Low
South Zone 2,23,29,12.017931034482759,1,9.0,12.91702597586207,77.61854176034483,26.05,Medium
West Zone 1,0,28,16.826428571428572,0,11.535714285714286,12.991576624999999,77.52727611785714,23.95,Low
West Zone 1,1,17,19.514705882352942,2,11.352941176470589,12.994585076470587,77.5151745,25.68,Medium
West Zone 1,2,30,15.518666666666666,2,10.633333333333333,12.996248366666666,77.51867505666668,31.72,Medium
West Zone 1,3,28,24.507499999999997,2,15.321428571428571,13.006063177142858,77.51868985785714,34.39,Medium
West Zone 1,4,20,22.476999999999997,2,14.1,12.996284268,77.50837425350001,28.74,Medium
West Zone 1,5,31,19.19677419354839,1,11.580645161290322,12.993070712903226,77.51808272258066,30.33,Medium
West Zone 1,6,34,20.45764705882353,2,13.529411764705882,12.978748274705882,77.51490067382352,36.23,Medium
West Zone 1,7,25,21.8196,0,13.76,12.977490645600001,77.52248829119999,24.3,Low
West Zone 1,8,21,17.797619047619047,2,14.095238095238095,12.994519995238095,77.51608046190476,27.33,Medium
West Zone 1,9,9,11.78111111111111,0,8.222222222222221,12.987917911111111,77.50772442222222,10.44,Low
West Zone 1,10,4,16.39,0,15.25,12.9250936225,77.49714263,9.43,Low
West Zone 1,12,6,22.593333333333334,3,15.166666666666666,13.009297805000001,77.520012765,24.01,Low
West Zone 1,14,1,4.76,0,6.0,12.9509793,77.4993639,2.64,Low
West Zone 1,17,2,38.175,0,28.0,13.03340175,77.5309893,17.6,Low
West Zone 1,18,9,32.81444444444444,2,20.77777777777778,12.98948764,77.52283449999999,26.62,Medium
West Zone 1,19,25,23.0044,2,14.56,12.989372064,77.525190128,31.96,Medium
West Zone 1,20,44,17.784545454545455,2,11.545454545454545,12.989153262954545,77.52328053136364,41.06,Medium
West Zone 1,21,50,16.27,4,11.1,12.993439017,77.5250787184,51.13,High
West Zone 1,22,29,21.04241379310345,3,13.551724137931034,13.00129557275862,77.52095817103448,37.07,Medium
West Zone 1,23,20,16.3815,0,10.8,12.991823675000001,77.51715569000001,18.98,Low
West Zone 2,0,22,23.50909090909091,2,15.068181818181818,12.985490564545454,77.55478859409091,30.38,Medium
West Zone 2,1,20,22.369,1,13.2,12.994244355000001,77.5684658175,25.13,Medium
West Zone 2,2,18,23.47888888888889,1,13.666666666666666,12.992999694444444,77.55779881111111,24.41,Low
West Zone 2,3,21,20.74142857142857,0,14.19047619047619,12.980027871428572,77.5578775095238,21.45,Low
West Zone 2,4,25,22.4784,1,14.9,12.990236356,77.562326744,28.16,Medium
West Zone 2,5,31,19.73709677419355,2,13.32258064516129,12.98452571516129,77.55534590677419,34.13,Medium
West Zone 2,6,15,19.478,2,12.0,12.969137006666667,77.55216663333334,24.47,Low
West Zone 2,7,18,21.284444444444446,0,13.027777777777779,13.000238887777778,77.56674590833333,19.89,Low
West Zone 2,8,17,16.985294117647058,0,11.058823529411764,12.99140396764706,77.55436380058825,17.45,Low
West Zone 2,9,14,25.08142857142857,2,15.607142857142858,12.99902985,77.5664087,26.28,Medium
West Zone 2,10,3,28.756666666666664,0,17.333333333333332,12.992643966666668,77.56979366666667,14.15,Low
West Zone 2,11,1,28.49,0,17.0,12.9985035,77.5843447,12.84,Low
West Zone 2,12,3,17.923333333333332,1,11.833333333333334,12.990256163333333,77.55970717333334,13.07,Low
West Zone 2,16,2,18.615,0,14.0,12.95008325,77.53635270000001,9.2,Low
West Zone 2,17,1,29.29,0,18.0,12.9538997,77.5433473,13.19,Low
West Zone 2,18,6,24.668333333333333,0,15.333333333333334,13.000254851666668,77.575537775,14.18,Low
West Zone 2,19,31,18.98774193548387,1,12.870967741935484,12.985176869999998,77.55822736483871,30.24,Medium
West Zone 2,20,27,19.641481481481478,0,13.444444444444445,12.977423996666666,77.55666874148147,24.56,Low
West Zone 2,21,35,19.849714285714285,2,12.714285714285714,12.982340191714286,77.55799636342857,36.57,Medium
West Zone 2,22,25,18.3648,0,13.46,12.983347488,77.556577768,22.82,Low
West Zone 2,23,23,20.715217391304346,1,14.08695652173913,12.989795206956524,77.55967708956521,26.21,Medium
